Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,MACD_Signal,BB_Upper,BB_Middle,BB_Lower,ATR,SMA_50,Signal,Strategy_Returns,Cumulative_Returns
2020-04-30,72.48999786376953,73.63249969482422,72.0875015258789,73.44999694824219,71.45600128173828,183064000,60.562596353314255,1.3814211830171104,0.8412780624051757,75.27355426899905,68.48999938964843,61.70644451029782,2.550248493999779,67.76509948730468,0,0.0,0.9904348581004856
2020-05-01,71.5625,74.75,71.4625015258789,72.26750183105469,70.30562591552734,240616800,57.53907861138087,1.451690240210425,0.9633604979662256,75.13424855824404,69.0417495727539,62.94925058726376,2.6029092068655872,67.60894958496094,0,-0.0,0.9904348581004856
2020-05-04,72.2925033569336,73.42250061035156,71.58000183105469,73.29000091552734,71.30036926269531,133568000,59.42537862129609,1.5717677448615746,1.0850419473452955,74.58287367497081,69.68862457275391,64.794375470537,2.548594176324965,67.50949966430665,0,0.0,0.9904348581004856
2020-05-05,73.76499938964844,75.25,73.61499786376953,74.38999938964844,72.3704833984375,147751200,61.41144477372816,1.7356828447903752,1.2151701268343114,75.05572610154431,70.12724952697754,65.19877295241076,2.506551669764086,67.5063996887207,0,0.0,0.9904348581004856
2020-05-06,75.11499786376953,75.80999755859375,74.71749877929688,75.15750122070312,73.1171646118164,142333600,62.7803808836657,1.9055517119436303,1.3532464438561753,75.41043709856865,70.64224967956542,65.8740622605622,2.4289407054198877,67.56914978027343,0,0.0,0.9904348581004856
2020-05-07,75.80500030517578,76.2925033569336,75.49250030517578,75.93499755859375,73.87354278564453,115215200,64.16716680468735,2.0789466665883793,1.4983864884026161,76.01706635633947,71.11312446594238,66.20918257554528,2.3365165219063577,67.62459976196288,0,0.0,0.9904348581004856
2020-05-08,76.41000366210938,77.5875015258789,76.07250213623047,77.53250122070312,75.63187408447266,133838400,66.89640158984737,2.318541904195257,1.6624175715611444,76.9117609963242,71.63987464904785,66.3679883017715,2.2876584822905577,67.80764984130859,0,0.0,0.9904348581004856
2020-05-11,77.0250015258789,79.26249694824219,76.80999755859375,78.75250244140625,76.82195281982422,145946400,68.84782372883873,2.5771588754340087,1.8453658323357174,78.04460029253539,72.16187477111816,66.27914924970094,2.2994328328161204,68.0158999633789,0,0.0,0.9904348581004856
2020-05-12,79.4574966430664,79.92250061035156,77.72750091552734,77.85250091552734,75.94403076171875,162301200,65.76778008877821,2.6786146841642307,2.01201560270142,78.84448775706494,72.46637496948242,66.08826218189989,2.291973322959556,68.07889999389648,0,-0.0,0.9904348581004856
2020-05-13,78.0374984741211,78.98750305175781,75.80249786376953,76.9124984741211,75.02705383300781,200622400,62.616922383876584,2.652591380189236,2.1401307581989832,79.3844176834898,72.75662498474121,66.12883228599262,2.3557613133187507,68.17054992675781,0,-0.0,0.9904348581004856
2020-05-14,76.12750244140625,77.44750213623047,75.38249969482422,77.38500213623047,75.48798370361328,158929200,63.561922672839735,2.6396663899475925,2.2400378845487054,79.94519285380187,73.04225006103516,66.13930726826845,2.3349928224678576,68.20455001831054,0,0.0,0.9904348581004856
2020-05-15,75.0875015258789,76.9749984741211,75.05249786376953,76.92749786376953,75.04169464111328,166348400,61.92951280643733,2.5629622375112717,2.304622755141219,80.36679854631333,73.35362510681152,66.34045166730971,2.334815068895935,68.27849990844726,0,-0.0,0.9904348581004856
2020-05-18,78.2925033569336,79.125,77.58000183105469,78.73999786376953,76.80976104736328,135178400,65.6890350760175,2.6182457393060474,2.3673473519741846,80.94844817661111,73.82900009155273,66.70955200649435,2.325007002276973,68.40814987182617,0,0.0,0.9904348581004856
2020-05-19,78.75749969482422,79.62999725341797,78.25250244140625,78.28500366210938,76.36592102050781,101729600,63.98095787780074,2.5954256321546296,2.4129630080102737,81.04662225357198,74.38862533569336,67.73062841781474,2.2573275601151694,68.64299987792968,0,-0.0,0.9904348581004856
2020-05-20,79.16999816894531,79.87999725341797,79.12999725341797,79.80750274658203,77.85111236572266,111504800,67.06686953299376,2.669422049163117,2.4642548162408424,81.50691858404085,74.92775039672851,68.34858220941618,2.2100179909146997,68.81244995117187,0,0.0,0.9904348581004856
2020-05-21,79.66500091552734,80.22250366210938,78.96749877929688,79.2125015258789,77.27067565917969,102688800,64.7327614446549,2.6495112010177877,2.5013060931962317,81.63514300882761,75.45050048828125,69.26585796773489,2.1418027689073997,69.01955001831055,0,-0.0,0.9904348581004856
2020-05-22,78.94249725341797,79.80750274658203,78.8375015258789,79.72250366210938,77.76819610595703,81803200,65.83047907614767,2.6444016049221233,2.52992519554141,81.95427956065119,75.89950065612793,69.84472175160467,2.05810265832138,69.37285011291505,0,0.0,0.9904348581004856
2020-05-26,80.875,81.05999755859375,79.125,79.18250274658203,77.2414321899414,125522000,63.57412746717824,2.5671857331820576,2.53737730306954,82.0544834254683,76.31900062561036,70.58351782575241,2.0493094369122633,69.56665016174317,0,-0.0,0.9904348581004856
2020-05-27,79.03500366210938,79.67749786376953,78.27249908447266,79.52749633789062,77.57796478271484,112945200,64.41333290973729,2.504954145989444,2.530892671653521,81.82007558619775,76.81312561035156,71.80617563450538,2.0032872470825924,69.94615005493164,-1,-0.001,0.9894444232423851
2020-05-28,79.19249725341797,80.86000061035156,78.90750122070312,79.5625,77.61211395263672,133560800,64.50269244067178,2.4304430333886984,2.5108027440005567,81.80278079581436,77.19462547302246,72.58647015023055,1.9996595429801527,70.27310005187988,-1,-0.0004401454053155618,0.9890089238256798
2020-05-29,79.8125,80.2874984741211,79.11750030517578,79.48500061035156,77.53649139404297,153532400,64.11880099034809,2.3381857370669934,2.4762793426138443,81.86851447862408,77.49637565612792,73.12423683363177,1.9403980162633785,70.62945007324218,-1,0.0009740693121563782,0.9899722870678271
